A Cave | Dungeon | 0x018B0191 [50 -10 0] -0.003491 0 0 -0.999994
Surface | Dungeon | 0xC4360022 [111.9 28.9 63] 1 0 0 0
Surface | Dungeon | 0xC4A80005 [21.4 104.1 65] -0.887011 0 0 -0.461749
Surface | Dungeon | 0xC55C000F [36 156 5.905] 1 0 0 0
Surface | Dungeon | 0xC58C001B [72.2 71.1 30] -0.707107 0 0 -0.707107
Surface | Dungeon | 0xC6610022 [108 36 6.005] 1 0 0 0
Surface | Dungeon | 0xC68C001F [94.2 149.8 28.6] 0.515038 0 0 -0.857167
Surface | Dungeon | 0xC6A9002A [133.3 32.3 43.7] 0.989016 0 0 -0.147809
Surface | Dungeon | 0xC6A9002A [133.3 32.3 43.7] 0.989016 0 0 -0.147809
Surface | Dungeon | 0xC7210100 [6.2 24.7 209.7] 0.970926 0 0 -0.239381
Surface | Dungeon | 0xC78D0012 [64.5 25.564 22.2] 0.737277 0 0 -0.67559
Surface | Dungeon | 0xC7B20010 [39.2 176 307.2] -0.544639 0 0 -0.838671
Surface | Dungeon | 0xC7EB000E [33.2956 128.17 0.005] 1 0 0 0
Surface | Dungeon | 0xC8B30008 [8.9 173.9 242.5] -0.325568 0 0 -0.945519
Surface | Dungeon | 0xC8DC003B [181 67.2 29.4] 1 0 0 0
Surface | Dungeon | 0xC92D0021 [108.24 3.521 158.005] 0 0 0 -1
Surface | Dungeon | 0xC98B0017 [69.4 164.3 4.4] -0.991445 0 0 -0.130526
Surface | Dungeon | 0xC9900018 [65.5 180.2 14] -0.382683 0 0 -0.92388
Surface | Dungeon | 0xC9E40026 [108.029 120.715 -0.095] -1 0 0 0
Surface | Dungeon | 0xCC52003A [170.65 37.824 53.378] -0.632996 0 0 -0.774155
Surface | Dungeon | 0xCD2A0024 [103.3 77.4 146.6] 1 0 0 0
Surface | Dungeon | 0xCD8E000C [28.971 84.15 22.005] -0.736351 0 0 -0.6766
Surface | Dungeon | 0xCD95002A [123.9 36.2 20] 0.951057 0 0 -0.309017
Surface | Dungeon | 0xCD960004 [20 76 30.3] 0.887011 0 0 -0.461749
Surface | Dungeon | 0xCDB4001E [87.753 136.134 230.758] -0.415456 0 0 -0.909614
Surface | Dungeon | 0xCDC10013 [51.987 54.293 -0.095] 0.872777 0 0 -0.488119
Surface | Dungeon | 0xCE3E001A [84 36 70.005] -1 0 0 0
Surface | Dungeon | 0xCE410007 [12.6 152.8 55.1] -0.544639 0 0 -0.838671
Surface | Dungeon | 0xCE510023 [113 53 245.005] 0.947599 0 0 -0.319464
Surface | Dungeon | 0xD0950036 [162.2 143.3 0] -0.492424 0 0 -0.870356
Surface | Dungeon | 0xD3380005 [5.5 109.8 168.5] 1 0 0 0
Surface | Dungeon | 0xD33F0027 [105.536 150.378 202] -0.707107 0 0 -0.707107
Surface | Dungeon | 0xD3AE000A [42 27 0] 0 0 0 -1
Surface | Dungeon | 0xD46F001A [77.8 33 40] -0.045363 0 0 -0.998971
Surface | Dungeon | 0xD479001A [79.5 33.5 41.2] -0.191666 0 0 -0.98146
Surface | Dungeon | 0xD63F0007 [14.7 165.4 262.4] 0.878817 0 0 -0.477159
Surface | Dungeon | 0xD66B003C [180.2 83.3 34.9] 0.581413 0 0 -0.813608
Surface | Dungeon | 0xD67E003A [182.8 36.2 20] 0.028794 0 0 -0.999585
Surface | Dungeon | 0xD7DE0102 [95.4745 35.8457 -6.34] -0.707107 0 0 0.707107
Surface | Dungeon | 0xD8540019 [84.8 2.1 31.8] 1 0 0 0
Surface | Dungeon | 0xD8560010 [35.6 189.2 30] -0.046235 0 0 -0.998931
Surface | Dungeon | 0xD85C003E [177.7 135 12] 1 0 0 0
Surface | Dungeon | 0xD85D000D [34.577 116 12.1] 0.067336 0 0 -0.99773
Surface | Dungeon | 0xD8CA0014 [58.339 92.125 275.1] -0.909961 0 0 -0.414693
Surface | Dungeon | 0xD94A0039 [188 18 58.6143] -0.92388 0 0 0.382683
Surface | Dungeon | 0xD954001D [79.9 114.5 20] 0.976296 0 0 -0.21644
Surface | Dungeon | 0xDA54002A [135.1 42.7 34] -0.965926 0 0 -0.258819
Surface | Dungeon | 0xDB75000B [28 72 18] 1 0 0 0
Surface | Dungeon | 0xDC3A001F [81.707 167.947 11.984] 0.087156 0 0 -0.996195
Surface | Dungeon | 0xDD540100 [7.01394 159.11 2.805] 0.854478 0 0 0.519488
Surface | Dungeon | 0xDD6B000C [39.8 84.4 15] -0.708956 0 0 -0.705253
Surface | Dungeon | 0xDD810010 [36 180 7] -0.796002 0 0 -0.605294
Surface | Dungeon | 0xDF3C000C [31.821 92.38 28.658] 0 0 0 -1
Surface | Dungeon | 0xE531000A [35.13 34.451 96.5] 0.991445 0 0 -0.130526
Surface | Dungeon | 0xE5310011 [80.7 35.5 92.4] 0.920505 0 0 -0.390731
Surface | Dungeon | 0xE53B0038 [150.177 178.138 90.652] 0.992546 0 0 -0.121869
Surface | Dungeon | 0xE54D0025 [104.1 111.5 24] 0.390731 0 0 -0.920505
Surface | Dungeon | 0xE6330013 [48.6 57 31.2] -0.045712 0 0 -0.998955
Surface | Dungeon | 0xE74C003E [183.19 133 32.1] -0.996195 0 0 -0.087156
Surface | Dungeon | 0xE74D0029 [126.6 15.5 32] -0.97237 0 0 -0.233445
Surface | Dungeon | 0xE74D003F [180.047 156.015 34.005] -0.382683 0 0 -0.92388
Surface | Dungeon | 0xE87A0035 [154.5 111.82 13.561] -0.677062 0 0 -0.735926
Surface | Dungeon | 0xE97D002F [120.5 148.386 19.411] -0.969576 0 0 -0.244791
Surface | Dungeon | 0xEA6C015B [194.8 147.8 -11.195] 0.976296 0 0 -0.21644
Surface | Dungeon | 0xEA7B0001 [9.452 23.534 54.044] -0.989337 0 0 -0.145643
Surface | Dungeon | 0xEA7E002A [128.327 45.804 13.311] -0.447759 0 0 -0.894154
Surface | Dungeon | 0xEB730022 [99.1 35.183 85.454] -0.038449 0 0 -0.999261
Surface | Dungeon | 0xEB7F0017 [68.826 147.822 13.687] 0.910092 0 0 -0.414407
Surface | Dungeon | 0xEC25003F [185.3 155.8 19.5] -0.199368 0 0 -0.979925
Surface | Dungeon | 0xEC7D0008 [21.25 168.25 12.005] -0.775832 0 0 -0.63094
Surface | Dungeon | 0xED1E0013 [56.342 64.818 24] -0.945519 0 0 -0.325568
Surface | Dungeon | 0xEE20002A [134.6 36.4 38] 0 0 0 -1
Surface | Dungeon | 0xEF0D0011 [52.9 15.7 107.1] 0.793353 0 0 -0.608761
Surface | Dungeon | 0xEF0D001C [90.7 91.4 107.6] 0.087156 0 0 -0.996195
Surface | Dungeon | 0xEF0D0021 [97.4 19.5 107.6] -0.866025 0 0 -0.5
Surface | Dungeon | 0xEF0D002B [124.5 59.6 107.6] -0.707107 0 0 -0.707107
Surface | Dungeon | 0xEF1C003D [171.612 109.506 0.005] 0.766044 0 0 -0.642788
Surface | Dungeon | 0xEF7F000B [30.247 49.295 12.005] 0.999759 0 0 -0.021954
Surface | Dungeon | 0xF0730031 [156.053 12.516 32.052] 0.723991 0 0 -0.689809
Surface | Dungeon | 0xF07F0039 [177.99 20.043 12.005] -0.076719 0 0 -0.997053
Surface | Dungeon | 0xF1270018 [59.793 171.194 21.473] -0.996195 0 0 -0.087156
Surface | Dungeon | 0xF15A002D [123.3 98.936 0.005] -0.431574 0 0 -0.902077
Surface | Dungeon | 0xF2800010 [24.7 174.7 12.005] 1 0 0 0
Surface | Dungeon | 0xF3270035 [159.789 116.697 18.005] 0 0 0 -1
Surface | Dungeon | 0xF4180009 [38.8552 6.14842 181.9] 0.695487 0 0 0.718539
Surface | Dungeon | 0xF41F002B [129.949 63.7847 -0.095] 0.995496 0 0 -0.094808
Surface | Dungeon | 0xF428002F [127.857 161.228 29.224] -0.453991 0 0 -0.891007
Surface | Dungeon | 0xF45A0032 [145.821 38.903 87] -0.771713 0 0 -0.635971
Surface | Dungeon | 0xF47A0014 [59.316 89.975 60.895] -0.357349 0 0 -0.933971
Surface | Dungeon | 0xF481001F [74.952 155.627 12.005] 0.575655 0 0 -0.817693
Surface | Dungeon | 0xF483001B [89.8 69.6 12.005] 0 0 0 -1
Surface | Dungeon | 0xF518003A [174.701 43.331 130.005] 0.766044 0 0 -0.642788
Surface | Dungeon | 0xF5280026 [110.566 126.121 22] -0.748956 0 0 -0.66262
Surface | Dungeon | 0xF529001F [81.165 158.503 18.033] -0.965926 0 0 -0.258819
Surface | Dungeon | 0xF67B000C [37.096 94.624 -0.095] -0.683159 0 0 -0.73027
Surface | Dungeon | 0xF67C003D [185.949 115.553 17.902] -0.780709 0 0 -0.624895
Surface | Dungeon | 0xF67D0034 [167.125 93.398 52.005] -0.324743 0 0 -0.945802
Surface | Dungeon | 0xF6820033 [145.7 49.855 58.005] -0.467544 0 0 -0.88397
Surface | Dungeon | 0xF7180023 [104.671 56.7115 0.005] 1 0 0 0
Surface | Dungeon | 0xF77E0017 [53.057 159.426 18.277] 0.011702 0 0 -0.999932
Surface | Dungeon | 0xF8190031 [147.29 12.477 21.731] -0.906308 0 0 -0.422618
Surface | Dungeon | 0xF81E0105 [79.3036 88.6019 16.6121] -0.382683 0 0 0.92388
Surface | Dungeon | 0xF8270017 [51.6 157.6 22.3] -0.998342 0 0 -0.057564
Surface | Dungeon | 0xF8800026 [106.105 138.4 12.005] -0.300706 0 0 -0.953717
Surface | Dungeon | 0xF921001D [76.586 109 20] -0.819152 0 0 -0.573577
Surface | Dungeon | 0xF9390027 [100.155 153.121 127.389] -0.715934 0 0 0.698168
Surface | Dungeon | 0xF93B0020 [85.1943 184.84 2.005] -0.646053 0 0 -0.763292
Surface | Dungeon | 0xF97E0035 [165.15 112.032 -0.095] 1 0 0 0
Surface | Dungeon | 0xF97F0010 [36.2 188.6 22.25] -0.258819 0 0 -0.965926
Surface | Dungeon | 0xF9820039 [181.6 2.6 12.005] -0.21644 0 0 -0.976296
Surface | Dungeon | 0xFA220009 [33.1887 12.2125 5.005] -0.707107 0 0 -0.707107
Surface | Dungeon | 0xFA7E001B [89.2 60.625 1.2] -0.5 0 0 -0.866025
Surface | Dungeon | 0xFA7F0006 [3.2 121.8 45.9] 0.601815 0 0 -0.798636
Surface Exit | Dungeon | 0x18B30030 [137.2 183.1 20] -0.34202 0 0 -0.939693
Surface Exit | Dungeon | 0x19BA003A [184.8 30 131.1] -0.819152 0 0 -0.573577
Surface Exit | Dungeon | 0x1DC10035 [152 98 74.7] 0 0 0 -1
Surface Exit | Dungeon | 0x1FC20023 [105 56 80] 0 0 0 -1
Surface Exit | Dungeon | 0x1FC90008 [30 150 1] 0 0 0 -1
Surface Exit | Dungeon | 0x20B70008 [40 150 91] 0 0 0 -1
Surface Exit | Dungeon | 0x24C10002 [30 50 96.5] 0 0 0 -1
Surface Exit | Dungeon | 0x29B6003A [150 50 23] 0 0 0 -1
Surface Exit | Dungeon | 0x2AB90028 [115.8 170.8 20] -0.819152 0 0 -0.573577
Surface Exit | Dungeon | 0x7F760009 [42.7 4.3 10] 0.5 0 0 -0.866025
Surface Exit | Dungeon | 0xB8700029 [136.186 19.839 16.005] 0.409852 0 0 -0.912152
Surface portal | Dungeon | 0x808F001F [87.449 165.212 124.005] -0.996231 0 0 -0.086738
Surface Portal | Dungeon | 0x01E401AD [38.4 -18.6 6] -0.782608 0 0 -0.622515
Surface Portal | Dungeon | 0x02AD01E4 [131.5 -538.7 0] 0.639439 0 0 -0.768842
Surface Portal | Dungeon | 0x0F390034 [162.5 87.6 38] -0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x0F690019 [95.7 14.6 0] 0.382683 0 0 -0.92388
Surface Portal | Dungeon | 0x1338003E [175.8 136.1 98] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x14550032 [163.519 28.263 70.005] -0.922093 0 0 -0.386969
Surface Portal | Dungeon | 0x1553001F [89.63 164.374 29.636] 0.212945 0 0 -0.977064
Surface Portal | Dungeon | 0x16350015 [50 113.4 63.8] -0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x1643003F [190.4 161.3 24] -0.104529 0 0 -0.994522
Surface Portal | Dungeon | 0x19BC0011 [60 12 235] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x1B55001D [87.8 117.5 0] 0 0 0 -1
Surface Portal | Dungeon | 0x1B90002D [122.6 111.8 30] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x1C4D0023 [98.8 45.5 0] -0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x1CBE0028 [111 175 100] 0 0 0 -1
Surface Portal | Dungeon | 0x1DBD0011 [60 11 96] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x1DBE002F [126 166 96] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x1EC0003A [187 24 100] 0 0 0 -1
Surface Portal | Dungeon | 0x1FBB0028 [119.5 176 83.5] -0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x20BF0116 [80.8 60.1 74.2] 0.452435 0 0 -0.891798
Surface Portal | Dungeon | 0x21BC000E [46 125 114] 0 0 0 -1
Surface Portal | Dungeon | 0x228E0026 [101.139 132.145 260.005] 0.782608 0 0 -0.622515
Surface Portal | Dungeon | 0x2438001F [88.2 153.9 -0.4] 0.190809 0 0 -0.981627
Surface Portal | Dungeon | 0x24840033 [150.65 71.3 340] 0.717032 0 0 -0.69704
Surface Portal | Dungeon | 0x24B80037 [146 153 122] 1 0 0 0
Surface Portal | Dungeon | 0x2545002D [122.8 104.8 0] 1 0 0 0
Surface Portal | Dungeon | 0x26310024 [105.2 80.7 72] 1 0 0 0
Surface Portal | Dungeon | 0x2698001E [84 132 94] 1 0 0 0
Surface Portal | Dungeon | 0x282A0036 [158.7 120.9 77.8] 1 0 0 0
Surface Portal | Dungeon | 0x2E39001D [90.8 119.6 120] -0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x313D0004 [1.2 91.5 229.4] 0.258819 0 0 -0.965926
Surface Portal | Dungeon | 0x313D0013 [64.2 67.8 233] -0.569279 0 0 -0.822144
Surface Portal | Dungeon | 0x3339002D [122.1 115.7 125.1] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x33460008 [17 190.1 42] 0 0 0 -1
Surface Portal | Dungeon | 0x341B001D [72.3922 119.604 51.9061] 1 0 0 0
Surface Portal | Dungeon | 0x37340014 [56.3 91.1 87.3] 1 0 0 0
Surface Portal | Dungeon | 0x3761000C [37.31 80.17 40] 0 0 0 -1
Surface Portal | Dungeon | 0x3761000C [37.31 80.17 40] 0 0 0 -1
Surface Portal | Dungeon | 0x3761000C [37.31 80.17 40] 0 0 0 -1
Surface Portal | Dungeon | 0x3B32003C [169.193 88.9 150.929] 0.819152 0 0 -0.573577
Surface Portal | Dungeon | 0x3D4A0024 [99.5 73.8 0] 0 0 0 -1
Surface Portal | Dungeon | 0x4139001B [79.766 69.047 0.005] -0.906308 0 0 -0.422618
Surface Portal | Dungeon | 0x424E0040 [188.18 177.261 1.555] -0.21644 0 0 -0.976296
Surface Portal | Dungeon | 0x43170036 [167.003 142.251 120.005] -0.136606 0 0 -0.990625
Surface Portal | Dungeon | 0x4452001D [83.6 117.6 20] 0.66262 0 0 -0.748956
Surface Portal | Dungeon | 0x4532000E [28.7 126.5 70] 0.92388 0 0 -0.382684
Surface Portal | Dungeon | 0x46A0000D [40.1 100.2 62.4] -0.061049 0 0 -0.998135
Surface Portal | Dungeon | 0x4E320007 [2.1 162 0.2] 0.500756 0 0 -0.865589
Surface Portal | Dungeon | 0x5AD30040 [171.6 170.8 43.5] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x5F100005 [18.3 112.1 -0.1] -0.966823 0 0 -0.255446
Surface Portal | Dungeon | 0x6FBC001F [103.9 162 95.9] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x7209000B [28.6 49.1 0] -0.748956 0 0 -0.66262
Surface Portal | Dungeon | 0x72110007 [13 152.5 152.8] -0.143493 0 0 -0.989651
Surface Portal | Dungeon | 0x73ED0033 [154.488 66.1743 76.005] 0 0 0 -1
Surface Portal | Dungeon | 0x7A870024 [106.4 79.3 16.5] -0.594823 0 0 -0.803857
Surface Portal | Dungeon | 0x7C130008 [20.4 190.4 5.3] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x7D60003A [191.5 27.4 23.8] -0.933581 0 0 -0.358368
Surface Portal | Dungeon | 0x7D60003A [191.5 27.4 23.8] -0.933581 0 0 -0.358368
Surface Portal | Dungeon | 0x7D60003A [191.5 27.4 23.8] -0.933581 0 0 -0.358368
Surface Portal | Dungeon | 0x7D60003A [191.5 27.4 23.8] -0.933581 0 0 -0.358368
Surface Portal | Dungeon | 0x7D870015 [54.84 118.272 220] 0.5 0 0 -0.866025
Surface Portal | Dungeon | 0x7E030410 [100.358 -292.454 0.005] 1 0 0 0
Surface Portal | Dungeon | 0x7E790038 [149.4 174 30] 0.92388 0 0 -0.382684
Surface Portal | Dungeon | 0x7F7F001C [80.7 81 78.5] 1 0 0 0
Surface Portal | Dungeon | 0x7FDB000C [26.6 74.5 271.8] -0.645458 0 0 -0.763796
Surface Portal | Dungeon | 0x80650015 [54.87 97.42 80.005] 0.087156 0 0 -0.996195
Surface Portal | Dungeon | 0x80B6001A [84 36 46] 0 0 0 -1
Surface Portal | Dungeon | 0x81A0002A [142.1 39 61.1] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x828E001E [73 126.7 124] -0.165048 0 0 -0.986286
Surface Portal | Dungeon | 0x8387000E [36.592 124.137 86.005] 1 0 0 0
Surface Portal | Dungeon | 0x84680003 [13.2 63.9 25.9] 1 0 0 0
Surface Portal | Dungeon | 0x84690011 [50.8 4 26] 0 0 0 -1
Surface Portal | Dungeon | 0x846E0012 [60 36 0] 1 0 0 0
Surface Portal | Dungeon | 0x86620029 [140.7 19.1 23.5] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x8662002B [120.3 49 25.8] 0.175367 0 0 -0.984503
Surface Portal | Dungeon | 0x868A0031 [165.626 20.723 64.28] 0.997998 0 0 -0.063252
Surface Portal | Dungeon | 0x86D5000A [43.8 36.4 290.6] 0 0 0 -1
Surface Portal | Dungeon | 0x86D5000A [43.8 36.4 290.6] 0 0 0 -1
Surface Portal | Dungeon | 0x87890029 [130.408 5.561 72.874] 0.34202 0 0 -0.939693
Surface Portal | Dungeon | 0x8A59003E [173.756 122.291 21] 0.544639 0 0 -0.838671
Surface Portal | Dungeon | 0x8A7A0022 [104 28.4 60] 0 0 0 -1
Surface Portal | Dungeon | 0x8E560017 [55.046 165.301 17.562] 0.894037 0 0 -0.447993
Surface Portal | Dungeon | 0x8F560018 [69.046 184.829 34.075] 1 0 0 0
Surface Portal | Dungeon | 0x9257003E [187.646 136.523 23.644] -0.866025 0 0 -0.5
Surface Portal | Dungeon | 0x92D30009 [30.8 12.4 642.9] -0.743145 0 0 -0.669131
Surface Portal | Dungeon | 0x934B0021 [108.3 6.1 18.1] -0.964557 0 0 -0.263873
Surface Portal | Dungeon | 0x94D10012 [63 43.4 21.6] 0.71934 0 0 -0.694658
Surface Portal | Dungeon | 0x956D0026 [108 132 0] 1 0 0 0
Surface Portal | Dungeon | 0x967E003A [171.393 32.249 30.005] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0x96DC0027 [115.475 165.277 303.182] 0.852795 0 0 -0.522246
Surface Portal | Dungeon | 0x975F0038 [160.9 172.5 12.8] 0.71934 0 0 -0.694658
Surface Portal | Dungeon | 0x98770026 [97.717 127.997 31.34] -0.672238 0 0 -0.740336
Surface Portal | Dungeon | 0x99790022 [108 27.19 26] 0 0 0 -1
Surface Portal | Dungeon | 0x99A60017 [66.1 155.7 52] -0.694659 0 0 -0.71934
Surface Portal | Dungeon | 0x99E60038 [160.4 176.9 73] 1 0 0 0
Surface Portal | Dungeon | 0x9A46000D [38.764 113.964 10.005] 1 0 0 0
Surface Portal | Dungeon | 0x9D49003C [191.355 89.028 83.953] 1 0 0 0
Surface Portal | Dungeon | 0x9D530004 [10.4 82 120] 1 0 0 0
Surface Portal | Dungeon | 0x9E42003C [180 84 87] 1 0 0 0
Surface Portal | Dungeon | 0x9FA6002E [131.321 141.543 64.005] 0.032298 0 0 -0.999478
Surface Portal | Dungeon | 0xA0790025 [106.412 106.596 24.005] -0.251985 0 0 -0.967731
Surface Portal | Dungeon | 0xA15F0022 [110.8 25.4 35.2] 0.507538 0 0 -0.861629
Surface Portal | Dungeon | 0xA2A10014 [60 93.0214 194.005] -0.004204 0 0 -0.999991
Surface Portal | Dungeon | 0xA320002D [122.7 116.7 480] -0.936672 0 0 -0.350207
Surface Portal | Dungeon | 0xA3A9003E [180.552 139.059 68.961] -0.866025 0 0 -0.5
Surface Portal | Dungeon | 0xA432000C [37.8 75.1 154.3] -0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0xA4A70016 [58.8611 142.112 84.005] 0.03329 0 0 0.999446
Surface Portal | Dungeon | 0xA4B40004 [4.344 73.205 121.942] -0.960233 0 0 -0.2792
Surface Portal | Dungeon | 0xA4B40004 [4.344 73.205 121.942] -0.960233 0 0 -0.2792
Surface Portal | Dungeon | 0xA4B40004 [4.344 73.205 121.942] -0.960233 0 0 -0.2792
Surface Portal | Dungeon | 0xA5B7001E [90.619 120.471 96.909] 0.38432 0 0 -0.9232
Surface Portal | Dungeon | 0xA78E0024 [108 84 38] 0 0 0 -1
Surface Portal | Dungeon | 0xA8950032 [148.7 32.1 62.5] 0 0 0 -1
Surface Portal | Dungeon | 0xAACC000D [27.4 100 48] 1 0 0 0
Surface Portal | Dungeon | 0xAB6B0102 [87.602 69.633 40.805] -0.174834 0 0 -0.984598
Surface Portal | Dungeon | 0xAE9E0025 [115.8 118.7 90] 0.829038 0 0 -0.559193
Surface Portal | Dungeon | 0xAFC6015C [102.7 58.6 116.1] 0.173648 0 0 -0.984808
Surface Portal | Dungeon | 0xB0230012 [52.1 48.8 279.7] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0xB1140001 [12 12 154] -0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0xB1280021 [118.4 17 173.2] 1 0 0 0
Surface Portal | Dungeon | 0xB3810020 [82.8 189.2 24] 0 0 0 -1
Surface Portal | Dungeon | 0xB4EE001A [92.422 45.823 47.192] -0.274135 0 0 -0.961691
Surface Portal | Dungeon | 0xB4EE001A [92.422 45.823 47.192] -0.274135 0 0 -0.961691
Surface Portal | Dungeon | 0xB5C50033 [151.6 62.3 275.9] -0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0xB6EA0027 [99 160 32.967] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0xB6EB003C [179.859 80.599 25.018] 0.949907 0 0 -0.312534
Surface Portal | Dungeon | 0xB7800013 [57.2459 55.02 24.005] 0.766044 0 0 -0.642788
Surface Portal | Dungeon | 0xB7EB0024 [111 95.6 25.3] 0.843391 0 0 -0.5373
Surface Portal | Dungeon | 0xBA6B0015 [59.806 102.036 5.555] -0.819442 0 0 -0.573162
Surface Portal | Dungeon | 0xBA6F0036 [167.7 129.5 6.1] -0.636078 0 0 -0.771625
Surface Portal | Dungeon | 0xBB700029 [124.631 19.772 5.905] -0.866025 0 0 -0.5
Surface Portal | Dungeon | 0xBB820032 [152.6 42.5 28] 0 0 0 -1
Surface Portal | Dungeon | 0xBBF0000B [31.73 49.271 209.255] 0.853687 0 0 -0.520786
Surface Portal | Dungeon | 0xBC110014 [49 73 240] 0.92388 0 0 -0.382684
Surface Portal | Dungeon | 0xBC9E0021 [108 12 0] 1 0 0 0
Surface Portal | Dungeon | 0xBDD20128 [157.23 80.3 186] -0.819152 0 0 -0.573577
Surface Portal | Dungeon | 0xBE5B0012 [63.5 46.8 6] 0.173648 0 0 -0.984808
Surface Portal | Dungeon | 0xBE7C0036 [140 110 31] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0xBF1E003F [173.3 165.1 292] 1 0 0 0
Surface Portal | Dungeon | 0xBF5E002E [132 132 0] 1 0 0 0
Surface Portal | Dungeon | 0xBF7E001D [82.435 116.134 28] -0.998952 0 0 -0.045781
Surface Portal | Dungeon | 0xC02D002E [134.7 122.2 256.9] 1 0 0 0
Surface Portal | Dungeon | 0xC1740024 [96.085 85.368 24.005] 0.566406 0 0 -0.824126
Surface Portal | Dungeon | 0xC1840009 [45.921 11.955 49.178] 0.461749 0 0 -0.887011
Surface Portal | Dungeon | 0xC1CF0027 [124.6 162.7 277.6] 0.996195 0 0 -0.087156
Surface Portal | Dungeon | 0xC2820010 [47 170 53.5] -0.866025 0 0 -0.5
Surface Portal | Dungeon | 0xC29A0031 [162.9 23.3 75.1] 0.061049 0 0 -0.998135
Surface Portal | Dungeon | 0xC3600001 [3.6 20.6 6] 1 0 0 0
Surface Portal | Dungeon | 0xC42E003F [178.5 155.8 258.2] 1 0 0 0
Surface Portal | Dungeon | 0xC4440028 [103.8 171.1 248.8] -0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0xC4440028 [103.8 171.1 248.8] -0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0xC48D0010 [44.71 174.706 15.168] -0.988703 0 0 -0.149889
Surface Portal | Dungeon | 0xC4A80024 [96.2 75.7 60] -0.286525 0 0 -0.958073
Surface Portal | Dungeon | 0xC5800005 [20.6 106.9 36] -0.628642 0 0 -0.777695
Surface Portal | Dungeon | 0xC88A0003 [11.729 69.078 64.005] 0.999848 0 0 -0.017452
Surface Portal | Dungeon | 0xC95A0025 [108 108 0] 1 0 0 0
Surface Portal | Dungeon | 0xCD95002F [132 156 8] 1 0 0 0
Surface Portal | Dungeon | 0xCE960037 [144.7 148.1 14] 0 0 0 -1
Surface Portal | Dungeon | 0xCF1F0032 [167.2 44.2 195.4] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0xD349001C [82.3 83.3 36.1] 0 0 0 -1
Surface Portal | Dungeon | 0xD55D002A [142.741 44.961 6.005] -0.077206 0 0 -0.997015
Surface Portal | Dungeon | 0xD73C003C [183.488 78.201 99.045] -0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0xD7510013 [69.673 62.982 38.005] 0.87276 0 0 -0.488149
Surface Portal | Dungeon | 0xDC370003 [7.758 56.403 26.611] 0 0 0 -1
Surface Portal | Dungeon | 0xE0320011 [70.3 14.7 276.2] -0.382683 0 0 -0.92388
Surface Portal | Dungeon | 0xE23B0038 [165.081 173.395 82.456] 0.894934 0 0 -0.446198
Surface Portal | Dungeon | 0xE33E0033 [155.483 64.573 176.098] 0.642788 0 0 -0.766044
Surface Portal | Dungeon | 0xE5240001 [4.8 3.2 0] 0.940288 0 0 -0.340379
Surface Portal | Dungeon | 0xE73D0003 [16.449 68.624 106.197] -0.810962 0 0 -0.585099
Surface Portal | Dungeon | 0xEB3D0035 [147.671 114.513 75.097] 0.015733 0 0 -0.999876
Surface Portal | Dungeon | 0xEF280100 [159 7.6 16.8] -0.970296 0 0 -0.241922
Surface Portal | Dungeon | 0xF0210100 [56 118.2 -4.8] -0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0xF0240033 [162.5 49.8 18] 0.707107 0 0 -0.707107
Surface Portal | Dungeon | 0xF11E0008 [7.031 174.101 18.005] -0.995309 0 0 -0.096749
Surface Portal | Dungeon | 0xF5270014 [68.53 80.87 21.1] -0.999962 0 0 -0.008727
Surface Portal | Dungeon | 0xF757001D [86.047 112.32 72.836] 1 0 0 0
Surface Portal | Dungeon | 0xF95E003C [173.7 83.8 -0.9] -0.642788 0 0 -0.766044
Swamp | Dungeon | 0x828E001E [77.6 122.9 124] -0.529919 0 0 -0.848048
Swamp Cavern | Dungeon | 0x009D02DA [95.841 -80 0.005] -0.707107 0 0 -0.707107
